%
%
% Run:A11   Table:loc               SWAN version:40.72ABCDE
%
%       Hsig          RTpeak        Tm01          Tm02          FSpr     
%       [m]           [sec]         [sec]         [sec]         [ ]      
%
      1.00012       10.0918       10.0000        9.9504      0.822476 
      1.00460       10.0918       10.0170        9.9672      0.821981 
      1.03689       10.0918       10.0373        9.9872      0.821555 
      1.14863       10.0918       10.0593       10.0090      0.821228 
      1.19862       10.0918       10.0638       10.0135      0.821167 
      1.23089       10.0918       10.0661       10.0157      0.821135 
      1.27039       10.0918       10.0683       10.0179      0.821104 
      1.31863       10.0918       10.0705       10.0201      0.821075 
      1.38469       10.0918       10.0727       10.0223      0.821042 
      1.47863       10.0918       10.0750       10.0245      0.821012 
      1.62353       10.0918       10.0772       10.0267      0.820979 
      1.93148       10.0918       10.0795       10.0290      0.820946 
      2.31184       10.0918       10.0807       10.0302      0.820929 
